name,type,variable,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,continent,region
Algeria,country,Agricultural water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,2.22,2.294,2.368,2.442,2.516,2.59,2.612,2.634,2.656,2.678,2.7,2.772909091,2.845818182,2.918727273,2.991636364,3.064545455,3.137454546,3.210363636,3.283272727,3.356181818,3.429090909,3.502,3.637272727,3.772545455,3.907818182,4.043090909,4.178363636,4.313636364,4.448909091,4.584181818,4.719454546,4.854727273,4.99,5.397333333,5.804666667,6.212,6.4,6.671,6.911333333,7.151666667,7.392,7.132,7.391,Africa,Northern Africa
Algeria,country,Agricultural water withdrawal as % of total water withdrawal [%],,,,,,,,,,,,,,,,,,,74.0,74.0,74.0,74.0,74.0,74.0,70.59459459,67.53846154,64.7804878,62.27906977,60.0,60.08458567,60.16505799,60.24170987,60.31480708,60.38459127,60.4512827,60.5150825,60.57617476,60.63472824,60.69089797,60.12877379,60.015,59.90977009,59.81215649,59.72136119,59.63669391,59.55755452,59.48341875,59.41382662,59.34837284,59.28669892,59.22848665,61.60401765,63.80390576,65.84693661,64.14111044,63.76409864,64.45535936,65.1138088,65.74172892,67.14998588,67.42997902,Africa,Northern Africa
Algeria,country,Fresh groundwater withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.408,5.816,7.224,6.33,8.103,8.195,8.287,8.379,8.293,8.492,Africa,Northern Africa
Algeria,country,Fresh surface water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.776666667,2.753333333,1.73,2.9,1.699,1.882666667,2.066333333,2.25,1.699,1.8,Africa,Northern Africa
Algeria,country,Industrial water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,0.12,0.124,0.128,0.132,0.136,0.14,0.248,0.356,0.464,0.572,0.68,0.662,0.644,0.626,0.608,0.59,0.572,0.554,0.536,0.518,0.5,0.492916667,0.485833333,0.47875,0.471666667,0.464583333,0.4575,0.450416667,0.443333333,0.43625,0.429166667,0.422083333,0.415,0.317333333,0.219666667,0.122,0.188,0.191,0.198333333,0.205666667,0.213,0.206,0.181,Africa,Northern Africa
Algeria,country,Industrial water withdrawal as % of total water withdrawal [%],,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,6.702702703,9.128205128,11.31707317,13.30232558,15.11111111,14.34450045,13.61516965,12.92046391,12.25797465,11.62551164,11.02107878,10.44285305,9.889166197,9.358488583,8.849415134,8.463299471,8.01625,7.602771863,7.219220334,6.862459855,6.529778124,6.218817008,5.927516561,5.654069339,5.39688286,5.154548567,4.925816024,3.621975346,2.414538526,1.293194827,1.884145119,1.825654751,1.849664263,1.872534143,1.89434365,1.939553714,1.651309187,Africa,Northern Africa
Algeria,country,Irrigation water requirement [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,2.511,Africa,Northern Africa
Algeria,country,Irrigation water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,3.502,Africa,Northern Africa
Algeria,country,Municipal water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,0.66,0.682,0.704,0.726,0.748,0.77,0.84,0.91,0.98,1.05,1.12,1.1801,1.2402,1.3003,1.3604,1.4205,1.4806,1.5407,1.6008,1.6609,1.721,1.82925,1.9375,2.04575,2.154,2.26225,2.3705,2.47875,2.587,2.69525,2.8035,2.91175,3.02,3.046666667,3.073333333,3.1,3.39,3.6,3.613,3.626,3.639,3.283,3.389,Africa,Northern Africa
Algeria,country,SDG 6.4.2. Agricultural Sector Contribution to Water Stress [%],,,,,,,,,,,,,,,,,,,31.23680878,32.27803574,33.3192627,34.36048966,35.40171662,36.44294358,36.75249754,37.0620515,37.37160546,37.68115942,37.45040101,38.51525161,39.58024568,40.64537301,41.71062433,42.77599121,43.84146597,44.90704159,45.97271165,47.03847027,48.10431204,49.13153382,51.03517908,52.43470875,53.8358629,55.23847131,56.64238675,58.04748123,59.45364293,60.86077374,62.2687872,63.67760687,65.00382663,70.94531445,76.9321706,82.95954276,83.30131552,87.94367453,91.39716147,94.8564749,98.32120961,94.40870394,97.64870466,Africa,Northern Africa
